Name,former name,Int_Bt,Bdot/dt,R,Z,phi,gam,L,W,NA(m2),Type,Family,IN_EFIT,,,,,,,,EFIT_probes,No.
MPI66M137,,*,,2.416,0.006,137.4,-90.4,0.054,0.0556,0.0231,Bp-R0 ELM array_130,5,0,,,,,,,,MPI5A322,73
MPI66B137,,*,,2.41,-0.124,137.5,-89.8,0.053,0.0556,0.02448,Bp-R0 ELM array_130,5,0,,,,,,,,DSL1U180,74
MPI6NB137,,*,,2.409,-0.255,137.5,-90.5,0.053,0.0556,0.02378,Bp-R0 ELM array_130,5,0,,,,,,,,MPI6U157,75
,,,,,,,,,,,,,,,,,,,,,MPI2L180,76
MPI66M307,,*,*,2.413,0.001,307,-90.2,0.14,0.0556,0.05984,Bp-R0 ELM array_310,6,0,,,,,,,,,
MPI66M312,,*,,2.411,-0.001,312.4,-90,0.054,0.0556,0.02297,Bp-R0 ELM array_310,6,0,,,,,,,,,
MPI6NA312,,*,,2.411,0.264,313.1,-89.2,0.055,0.0556,0.02419,Bp-R0 ELM array_310,6,0,,,,,,,,,
MPI66B312,,*,,2.411,-0.131,313.2,-90.3,0.055,0.0556,0.02398,Bp-R0 ELM array_310,6,0,,,,,,,,,
MPI6NB312,,*,,2.411,-0.261,313.2,-90.3,0.055,0.0556,0.02394,Bp-R0 ELM array_310,6,0,,,,,,,,,
MPI66M322,,*,*,2.418,-0.001,317.4,-89.9,0.14,0.0556,0.0604,Bp-R0 ELM array_310,6,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MPI1L020,,*,,1.507,-1.2885,20,-178.17,0.0271,0.0556,0.01207,Bp-lower divertor baffles,7,0,,,,,,,,,
MPI2L020,,*,,1.6064,-1.2892,20,-179.69,0.0274,0.0556,0.01212,Bp-lower divertor baffles,7,0,,,,,,,,,
MPI1L050,,*,,1.5055,-1.2883,50,-179.73,0.0269,0.0556,0.01198,Bp-lower divertor baffles,7,0,,,,,,,,,
MPI1L110,,*,,1.5127,-1.29,110,-178.96,0.0279,0.0556,0.01226,Bp-lower divertor baffles,7,0,,,,,,,,,
MPI1L180,,*,*,1.5104,-1.2915,180,-179.99,0.0271,0.0556,0.0113,Bp-lower divertor baffles,7,1,,,,,,,,,
MPI2L180,,*,*,1.6103,-1.2915,180,-179.75,0.0277,0.0556,0.01117,Bp-lower divertor baffles,7,1,,,,,,,,,
MPI3L180,,*,*,1.7103,-1.2918,180,-178.98,0.0273,0.0556,0.01125,Bp-lower divertor baffles,7,1,,,,,,,,,
MPI1L230,,*,,1.507,-1.292,230,179.61,0.0271,0.0556,0.01103,Bp-lower divertor baffles,7,0,,,,,,,,,
MPI1L320,,*,,1.5055,-1.2899,320,179.74,0.0273,0.0556,0.01194,Bp-lower divertor baffles,7,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MPI66M020,,*,*,2.41,0.002,19.5,-89.9,0.139,0.0556,0.06202,Bp-R0 toroidal array,8,0,,,,,,,,,
MPI66M067,,*,*,2.413,0.003,67.5,-89.9,0.141,0.0556,0.06218,Bp-R0 toroidal array,8,1,,,,,,,,,
MPI66M097,,*,*,2.413,-0.005,97.4,-89.8,0.137,0.0556,0.06087,Bp-R0 toroidal array,8,0,,,,,,,,,
MPI66M127,,*,*,2.413,0.002,127.9,-90,0.14,0.0556,0.05984,Bp-R0 toroidal array,8,0,,,,,,,,,
MPI66M132,,*,,2.409,0.007,132.5,-90.3,0.055,0.0556,0.02387,Bp-R0 toroidal array,8,0,,,,,,,,,
MPI66M137,,*,,2.416,0.006,137.4,-90.4,0.054,0.0556,0.0231,Bp-R0 toroidal array,8,0,,,,,,,,,
MPI66M157,,*,*,2.413,-0.001,157.6,-89.8,0.137,0.0556,0.06109,Bp-R0 toroidal array,8,1,,,,,,,,,
MPI66M200,,*,*,2.412,0.003,199.7,-89.9,0.139,0.0556,0.06048,Bp-R0 toroidal array,8,0,,,,,,,,,
MPI66M247,,*,*,2.413,-0.003,246.4,-90.5,0.14,0.0556,0.0615,Bp-R0 toroidal array,8,1,,,,,,,,,
MPI66M277,,*,*,2.413,-0.009,277.5,-89.7,0.137,0.0556,0.06194,Bp-R0 toroidal array,8,0,,,,,,,,,
MPI66M307,,*,*,2.413,0.001,307,-90.2,0.14,0.0556,0.05984,Bp-R0 toroidal array,8,0,,,,,,,,,
MPI66M312,,*,,2.411,-0.001,312.4,-90,0.054,0.0556,0.02297,Bp-R0 toroidal array,8,0,,,,,,,,,
MPI66M322,,*,*,2.418,-0.001,317.4,-89.9,0.14,0.0556,0.0604,Bp-R0 toroidal array,8,1,,,,,,,,,
MPI66M340,,*,*,2.413,-0.002,339.7,-89.8,0.14,0.0556,0.06072,Bp-R0 toroidal array,8,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MPI67A022,,*,,2.273,0.767,22.3,-67.5,0.153,0.1,0.1441,Bp-R+1 toroidal array,9,0,,,,,,,,,
MPI67A037,MPI67A1,*,,2.268,0.755,37.5,-67.9,0.155,0.1,0.13018,Bp-R+1 toroidal array,9,0,,,,,,,,,
MPI67A052,,*,,2.27,0.764,52.4,-65.9,0.154,0.1,0.14439,Bp-R+1 toroidal array,9,0,,,,,,,,,
MPI67A067,,*,,2.261,0.758,67.5,-68,0.153,0.1,0.13683,Bp-R+1 toroidal array,9,0,,,,,,,,,
MPI67A082,,*,,2.26,0.757,82.5,-67.6,0.154,0.1,0.13749,Bp-R+1 toroidal array,9,0,,,,,,,,,
MPI67A097,MPI67A2,*,,2.266,0.758,97.4,-67.6,0.155,0.1,0.13076,Bp-R+1 toroidal array,9,1,,,,,,,,,
MPI67A142,,*,,2.262,0.757,142.7,-67.3,0.153,0.1,0.13527,Bp-R+1 toroidal array,9,1,,,,,,,,,
MPI67A157,MPI67A3,*,,2.264,0.76,157.5,-67.8,0.156,0.1,0.13329,Bp-R+1 toroidal array,9,1,,,,,,,,,
MPI67A217,MPI67A4,*,,2.268,0.753,217.5,-67.6,0.155,0.1,0.13148,Bp-R+1 toroidal array,9,0,,,,,,,,,
MPI67A262,,*,,2.264,0.751,262.6,-67.5,0.154,0.1,0.13937,Bp-R+1 toroidal array,9,0,,,,,,,,,
MPI67A277,MPI67A5,*,,2.267,0.756,277.3,-68,0.155,0.1,0.13266,Bp-R+1 toroidal array,9,0,,,,,,,,,
MPI67A307,,*,,2.266,0.76,307.5,-67.5,0.152,0.1,0.13519,Bp-R+1 toroidal array,9,0,,,,,,,,,
MPI67A337,MPI67A6,*,,2.268,0.756,337.4,-67.6,0.155,0.1,0.13068,Bp-R+1 toroidal array,9,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MPI67B022,,*,,2.253,-0.751,22.4,-112.3,0.154,0.1,0.14287,Bp-R-1 toroidal array,10,0,,,,,,,,,
MPI67B037,MPI67B1,*,,2.264,-0.752,37.4,-112.4,0.156,0.1,0.13078,Bp-R-1 toroidal array,10,0,,,,,,,,,
MPI67B052,,*,,2.257,-0.751,52.4,-112.7,0.154,0.1,0.14125,Bp-R-1 toroidal array,10,0,,,,,,,,,
MPI67B097,MPI67B2,*,,2.262,-0.751,97.4,-112.6,0.156,0.1,0.13311,Bp-R-1 toroidal array,10,1,,,,,,,,,
MPI67B157,MPI67B3,*,,2.26,-0.754,157.4,-112.8,0.155,0.1,0.13229,Bp-R-1 toroidal array,10,1,,,,,,,,,
MPI67B217,MPI67B4,*,,2.266,-0.753,217.6,-112.8,0.155,0.1,0.13554,Bp-R-1 toroidal array,10,0,,,,,,,,,
MPI67B277,MPI67B5,*,,2.26,-0.756,277.5,-112.5,0.155,0.1,0.13036,Bp-R-1 toroidal array,10,0,,,,,,,,,
MPI67B337,MPI67B6,*,,2.26,-0.754,337.4,-112.7,0.155,0.1,0.14188,Bp-R-1 toroidal array,10,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MPI79A072,,*,,1.762,1.312,72.2,-39,0.153,0.1,0.21191,Bp-R+2 toroidal array,11,0,,,Two of the four Bp and Br sensors in each of the R±2 toroidal arrays are digitized individually; the others are used only as members of differential pairs. ,,,,,,
MPI79A147,,*,,1.762,1.312,147.2,-39.5,0.153,0.1,0.21266,Bp-R+2 toroidal array,11,1,,,,,,,,,
MPI79A222,,,,1.762,1.312,222.1,-39.5,0.153,0.1,0.21037,Bp-R+2 toroidal array,11,0,,,,,,,,,
MPI79A272,,,,1.763,1.311,272.9,-39.1,0.153,0.1,0.21067,Bp-R+2 toroidal array,11,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MPI79B067,,*,,2.039,-1.11,67.5,-129.4,0.153,0.1,0.21217,Bp-R-2 toroidal array,12,0,,,Two of the four Bp and Br sensors in each of the R±2 toroidal arrays are digitized individually; the others are used only as members of differential pairs. ,,,,,,
MPI79B142,,*,,2.044,-1.11,142.4,-129.1,0.154,0.1,0.20995,Bp-R-2 toroidal array,12,1,,,,,,,,,
MPI79B217,,,,2.046,-1.109,217.5,-129.6,0.153,0.1,0.21082,Bp-R-2 toroidal array,12,0,,,,,,,,,
MPI79B277,,,,2.043,-1.11,277.6,-129.2,0.153,0.1,0.2119,Bp-R-2 toroidal array,12,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MPI5A139,,*,,0.979,0.759,142.5,89.7,0.141,0.0556,0.09756,Bp-HFS vertical array_139,13,1,,,,,,,,,
MPI4A139,,*,,0.976,0.485,135,90,0.141,0.0556,0.09767,Bp-HFS vertical array_139,13,1,,,,,,,,,
MPI3A139,,*,,0.979,0.347,142.5,90.1,0.141,0.0556,0.09725,Bp-HFS vertical array_139,13,1,,,,,,,,,
MPI2A139,,*,,0.977,0.209,135,89.9,0.141,0.0556,0.09808,Bp-HFS vertical array_139,13,1,,,,,,,,,
MPI1A139,,*,*,0.979,0.07,142.5,90.3,0.142,0.0556,0.09776,Bp-HFS vertical array_139,13,1,,,,,,,,,
MPI1B139,,*,,0.977,-0.069,135,90,0.142,0.0556,0.09748,Bp-HFS vertical array_139,13,1,,,,,,,,,
MPI2B139,,*,,0.979,-0.207,142.5,89.6,0.141,0.0556,0.09812,Bp-HFS vertical array_139,13,1,,,,,,,,,
MPI3B139,,*,,0.977,-0.343,135,90.1,0.141,0.0556,0.09816,Bp-HFS vertical array_139,13,1,,,,,,,,,
MPI4B139,,*,,0.98,-0.482,142.5,89.9,0.141,0.0556,0.09748,Bp-HFS vertical array_139,13,1,,,,,,,,,
MPI5B139,,*,,0.977,-0.757,134.9,89.8,0.142,0.0556,0.09822,Bp-HFS vertical array_139,13,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MPI5A199,,,,0.978,0.759,202.6,90,0.141,0.0556,0.09805,Bp-HFS vertical array_199,14,0,,,difference with the corresponding 139,,,,,,
MPI4A199,,,,0.976,0.485,195,90.2,0.141,0.0556,0.09741,Bp-HFS vertical array_199,14,0,,,,,,,,,
MPI3A199,,,,0.977,0.347,202.6,90,0.141,0.0556,0.09803,Bp-HFS vertical array_199,14,0,,,,,,,,,
MPI2A199,,,,0.976,0.209,195,89.8,0.141,0.0556,0.09762,Bp-HFS vertical array_199,14,0,,,,,,,,,
MPI1A199,,*,*,0.976,0.07,202.6,90.6,0.141,0.0556,0.09796,Bp-HFS vertical array_199,14,0,,,,,,,,,
MPI1B199,,,,0.976,-0.069,195,90.3,0.141,0.0556,0.09842,Bp-HFS vertical array_199,14,0,,,,,,,,,
MPI2B199,,,,0.977,-0.207,202.6,89.8,0.141,0.0556,0.0974,Bp-HFS vertical array_199,14,0,,,,,,,,,
MPI3B199,,,,0.976,-0.344,195,90,0.142,0.0556,0.09782,Bp-HFS vertical array_199,14,0,,,,,,,,,
MPI4B199,,,,0.978,-0.483,202.5,89.7,0.142,0.0556,0.09836,Bp-HFS vertical array_199,14,0,,,,,,,,,
MPI5B199,,,,0.977,-0.757,194.9,90,0.142,0.0556,0.09831,Bp-HFS vertical array_199,14,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MPI1A011,,*,*,0.977,0.071,15.1,90.3,0.141,0.0556,0.09765,Bp-HFS toroidal array_above,15,0,,,,,,,,,
MPI1A049,,*,*,0.979,0.07,52.6,90.2,0.141,0.0556,0.09753,Bp-HFS toroidal array_above,15,0,,,,,,,,,
MPI1A109,,*,*,0.977,0.07,112.5,90.4,0.141,0.0556,0.09834,Bp-HFS toroidal array_above,15,0,,,,,,,,,
MPI1A139,,*,*,0.979,0.07,142.5,90.3,0.142,0.0556,0.09776,Bp-HFS toroidal array_above,15,1,,,,,,,,,
MPI1A199,,*,*,0.976,0.07,202.6,90.6,0.141,0.0556,0.09796,Bp-HFS toroidal array_above,15,0,,,,,,,,,
MPI1A244,,*,*,0.977,0.07,247.3,89.9,0.141,0.0556,0.09751,Bp-HFS toroidal array_above,15,0,,,,,,,,,
MPI1A274,,*,*,0.978,0.071,277.5,90.3,0.141,0.0556,0.09771,Bp-HFS toroidal array_above,15,0,,,,,,,,,
MPI1A341,,*,*,0.978,0.071,345.1,89.9,0.141,0.0556,0.09756,Bp-HFS toroidal array_above,15,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MPI1B011,,,,0.976,-0.068,7.6,90.1,0.141,0.0556,0.09785,Bp-HFS toroidal array_below,16,0,,,Two of the eight Bp and Br sensors in the HFS below-midplane toroidal arrays are digitized individually; the others are used only as members of differential pairs.,,,,,,
MPI1B049,,*,,0.978,-0.068,45.1,90,0.141,0.0556,0.0986,Bp-HFS toroidal array_below,16,0,,,,,,,,,
MPI1B109,,,,0.976,-0.069,105,89.8,0.141,0.0556,0.09854,Bp-HFS toroidal array_below,16,0,,,,,,,,,
MPI1B139,,*,,0.977,-0.069,135,90,0.142,0.0556,0.09748,Bp-HFS toroidal array_below,16,1,,,,,,,,,
MPI1B199,,,,0.976,-0.069,195,90.3,0.141,0.0556,0.09842,Bp-HFS toroidal array_below,16,0,,,,,,,,,
MPI1B244,,,,0.977,-0.069,239.9,90.3,0.141,0.0556,0.09777,Bp-HFS toroidal array_below,16,0,,,,,,,,,
MPI1B274,,,,0.976,-0.07,270.1,90.2,0.141,0.0556,0.09762,Bp-HFS toroidal array_below,16,0,,,,,,,,,
MPI1B341,,,,0.977,-0.069,337.6,89.8,0.141,0.0556,0.09755,Bp-HFS toroidal array_below,16,0,,,,,,,,,
